"STATION","NAME","DATE","MLY-CLDD-BASE45","MLY-CLDD-BASE50","MLY-CLDD-BASE55","MLY-CLDD-BASE57","MLY-CLDD-BASE60","MLY-CLDD-BASE70","MLY-CLDD-BASE72","MLY-CLDD-NORMAL","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-HTDD-BASE40","MLY-HTDD-BASE45","MLY-HTDD-BASE50","MLY-HTDD-BASE55","MLY-HTDD-BASE57","MLY-HTDD-BASE60","MLY-HTDD-NORMAL","MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-NORMAL","MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-NORMAL","MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-STDDEV"
"USC00312837","ENKA, NC US","01","19","4","-7777","0","0","0","0","0","24.8",,"206","323","462","614","676","769","924","1.77","2.56","3.94","7.5","5.6","1.9","0.9","3.07",,,,,,,,,,,,,,"35.2",,"233","13.8","46","2","0","0.0","0.0","3.8","47.6",,"0.1","34","114","25.2","301","310","310","310","22.8",
"USC00312837","ENKA, NC US","02","27","9","1","-7777","-7777","0","0","-7777","25.4",,"105","195","317","449","504","588","728","2.13","3.16","4.72","7.5","6.0","2.2","1.1","3.38",,,,,,,,,,,,,,"39.0",,"234","16.7","67","11","1","0.0","0.0","0.7","51.7",,"0.0","2","51","22.1","270","279","280","280","26.3",
"USC00312837","ENKA, NC US","03","119","50","16","9","3","0","0","-7777","26.6",,"34","85","171","292","347","434","586","2.63","3.54","4.30","9.3","6.9","2.6","0.9","3.67",,,,,,,,,,,,,,"46.1",,"299","24.7","158","48","3","0.0","0.0","0.1","59.4",,"0.0","0","10","15.1","245","309","310","310","32.8",
"USC00312837","ENKA, NC US","04","311","188","95","67","36","-7777","0","8","27.0",,"5","17","44","101","133","192","314","1.72","2.98","3.88","8.5","6.0","2.4","0.8","3.06",,,,,,,,,,,,,,"54.8",,"298","28.5","242","139","37","0.0","0.0","0.0","68.3",,"0.0","0","1","3.5","137","256","300","300","41.3",
"USC00312837","ENKA, NC US","05","563","410","266","212","138","9","3","50","24.1",,"-7777","-7777","2","13","21","41","107","2.15","2.77","4.08","9.0","6.5","2.5","0.7","3.33",,,,,,,,,,,,,,"63.2",,"310","31.0","302","243","85","0.1","0.0","0.0","75.2",,"0.0","0","0","0.0","24","135","279","310","51.1",
"USC00312837","ENKA, NC US","06","775","625","476","416","327","66","36","183","22.7",,"0","0","-7777","-7777","-7777","1","8","2.21","3.35","4.74","9.1","7.3","2.6","0.9","3.80",,,,,,,,,,,,,,"70.9",,"300","30.0","299","295","207","1.5","0.0","0.0","82.2",,"0.0","0","0","0.0","0","11","155","299","59.5",
"USC00312837","ENKA, NC US","07","917","762","607","545","453","147","96","298","20.6",,"0","0","0","0","0","0","-7777","2.68","3.46","4.34","10.0","7.6","2.7","0.9","3.68",,,,,,,,,,,,,,"74.6",,"310","31.0","310","310","262","3.3","0.0","0.0","84.9",,"0.0","0","0","0.0","0","0","40","291","64.3",
"USC00312837","ENKA, NC US","08","885","730","575","513","420","119","72","266","21.1",,"0","0","0","0","0","0","1","1.28","3.27","4.88","8.6","5.9","2.0","0.7","3.43",,,,,,,,,,,,,,"73.6",,"310","31.0","310","307","253","4.3","0.0","0.0","84.1",,"0.0","0","0","0.0","0","1","75","301","63.0",
"USC00312837","ENKA, NC US","09","663","513","365","307","223","21","7","100","22.8",,"-7777","-7777","-7777","2","4","10","37","1.69","3.09","5.31","6.4","5.5","2.0","0.9","3.73",,,,,,,,,,,,,,"67.1",,"300","30.0","299","274","125","0.2","0.0","0.0","78.5",,"0.0","0","0","0.0","1","49","231","300","55.7",
"USC00312837","ENKA, NC US","10","370","238","131","96","52","1","-7777","13","25.7",,"2","9","32","80","106","156","272","1.19","1.90","2.92","5.8","4.5","1.6","0.5","2.27",,,,,,,,,,,,,,"56.7",,"310","30.1","270","161","25","0.0","0.0","0.0","69.5",,"0.0","0","0","3.8","118","212","302","310","43.8",
